127.0.0.1, 2018-04-23 19:19:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-23 19:19:16, GET, /start/default/index, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-23 19:19:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001000

, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:22:03, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:22:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-23 19:22:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-23 19:25:12, GET, /start/, HTTP/1.1, 500, 0.056000
127.0.0.1, 2018-04-23 19:25:26, GET, /start/, HTTP/1.1, 500, 0.024000
127.0.0.1, 2018-04-23 19:25:27, GET, /start/, HTTP/1.1, 500, 0.030000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/, HTTP/1.1, 500, 0.024000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000

127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:26:03, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:27:21, GET, /start/, HTTP/1.1, 500, 0.056000
127.0.0.1, 2018-04-23 19:27:22, GET, /start/, HTTP/1.1, 500, 0.025000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/, HTTP/1.1, 500, 0.030000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002000

127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:27:34, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:27:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:28:43, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:28:44, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-23 19:35:01, GET, /start/, HTTP/1.1, 500, 0.027000
127.0.0.1, 2018-04-23 19:36:28, GET, /start/, HTTP/1.1, 500, 0.081000
127.0.0.1, 2018-04-23 19:36:29, GET, /start/, HTTP/1.1, 500, 0.028000
127.0.0.1, 2018-04-23 19:36:51, GET, /start/, HTTP/1.1, 500, 0.025000
127.0.0.1, 2018-04-23 19:36:52, GET, /start/, HTTP/1.1, 500, 0.028000
